fss1,(bus) stop,arrêt
fss71,above ; over,au-dessus
fss72,absolutely,tout à fait;absolument
fss73,acquaintance,connaissance
fss74,activity,activité
fss75,addition ; check ; bill,addition
fss76,adored,adoré;adorée
fss77,after,après
fss78,after ; at the end of,au bout
fss79,after you,après vous;après toi
fss80,after you (formal),après vous
fss81,afternoon,après-midi
fss82,aftersun balm,crème après soleil
fss83,aggressive,agressif;agressive
fss84,ahead of your time,en avance sur ton temps
fss85,airport,aéroport
fss86,alcohol free,sans alcool
fss87,almond,amande
fss88,alone ; lonely ; by oneself,seul;seule
fss89,already,déjà
fss90,also ; as well,également
fss91,altar (church),autel
fss92,always,toujours
fss93,ambience ; vibe,ambiance
fss94,amusing ; funny,amusant;amusante
fss95,an exam ; a test,un examen
fss96,an feeling of faintness,un malaise
fss97,angry,en colère
fss98,anyone ; anything,n’importe qui ; n’importe quoi
fss99,anyway ; in short,bref
fss100,appearence,apparence
fss101,appetite,appétit
fss102,April,avril
fss103,archeology,archéologie
fss104,ark (Noah’s ark),arche
fss105,aroma,arôme
fss106,around ; surrounding,alentours
fss107,around the table ; or “dinner is served”,à table
fss108,as ; like,comme
fss109,as much as,autant
fss110,asleep,endormi ; endormie
fss111,at the end of,au bout de
fss112,August,août
fss113,automated payment,paiement automatisé
fss114,autumn ; fall,automne
fss115,available,disponible
fss116,awfully,terriblement
fss117,back ; behind,arrière
fss118,bad behavior ; foolish act,bêtise
fss119,bad boy,mauvais garçon
fss120,bad wine,piquette
fss121,bad-tempered,irritable
fss122,ballad,ballade
fss123,bank,banque
fss124,bank transfer,virement
fss125,banker,banquier
fss126,basket ; cart,panier
fss127,beach,plage
fss128,beautiful,beau;belle
fss129,because,car
fss130,beer,bière
fss131,before,avant
fss132,being introduced to someone,présentations
fss133,beside,à côté
fss134,big ; tall,grand;grande
fss135,biker,motard
fss136,bill ; invoice,facture
fss137,sales day (ex.Black Friday),journée de soldes
fss138,blogger,blogueur ; blogueuse
fss139,blonde,blond
fss140,blood,sang
fss141,bodybuilding,musculation
fss142,boiling,en ébullition
fss143,boyfriend ; girlfriend,petit ami ;petite amie
fss144,brand,marque
fss145,bridge,pont
fss146,brilliant ; great,génial;géniale
fss147,broke,ruiné ;ruinée
fss148,broth ; stock,bouillon
fss149,brother,frère
fss150,burried (passive),enterré ; enterrée
fss151,butter,beurre
fss152,by bus,en bus
fss153,by car,en voiture
fss154,by chance ; by accident,par hasard
fss155,by heart,par coeur
fss156,by tram,en tram
fss157,cake,gâteau
fss158,calculation,calcul
fss159,calculator,calculatrice
fss160,caliber,calibre
fss161,calm,calme
fss162,calmly,tranquillement
fss163,camp,camp
fss164,can ; to be able to,pouvoir
fss165,Canada,le Canada
fss166,candied fruit,fruit confit
fss167,candy,bonbon
fss168,caress ; a gentle touch,une caresse
fss169,carpenter,menuisier
fss170,check ; bill,note
fss171,checkout,caisse
fss172,cheeky ; daring,culotté;culottée
fss173,cheeky ; disrespectful,insolent;insolente
fss174,cheers,à votre santé
fss175,cheese gratin ; or top of the crop,gratin
fss176,chili,piment
fss177,China,la Chine
fss178,chocolate,chocolat
fss179,chocolate maker,chocolatier
fss180,Christmas,Noël
fss181,citrus fruit,agrume
fss182,city,ville
fss183,clean,propre
fss184,climbing,escalade
fss185,cloud,nuage
fss186,cloudy,nuageux ; nuageuse
fss187,cloudy (sky),couvert
fss188,coach,entraîneur;entraîneuse
fss189,cold cuts,charcuterie
fss190,colleague ; co-worker,collègue
fss191,comic book,bande dessinée
fss192,commis chef ; kitchen helper,commis de cuisine
fss193,compartment,compartiment
fss194,complicated,compliqué
fss195,connection,correspondance
fss196,considerably ; a lot,considérablement
fss197,contrary ; opposite,inverse
fss198,cooking chef,chef
fss199,correctly,correctement
fss200,cost ; price,coût
fss201,countdown,compte à rebours
fss202,counter,comptoir
fss203,countryside,campagne
fss204,courthouse,tribunal
fss205,cream,crème
fss206,cross,croix
fss207,crowd,foule
fss208,cute,mignon
fss209,daily,quotidien
fss210,damage ; harm,préjudice
fss211,damned,maudit
fss212,day,jour;journée
fss213,dazzling ; shiny,éblouissant;éblouissante
fss214,dear,cher ; chère
fss215,debit card,carte bancaire
fss216,December,décembre
fss217,definitely,certainement
fss218,delicate ; thin,fin ; fine
fss219,delicious,délicieux;délicieuse
fss220,delighted (formal),enchanté ; enchantée
fss221,delighted ; over the moon,ravi;ravie
fss222,delighted to meet you (formal),ravi de faire votre connaissance
fss223,delivery,livraison
fss224,delivery man ; delivery woman,livreur ; livreuse
fss225,delivery notice,avis de passage
fss226,delivery relay,point-relais
fss227,destination,destination
fss228,diabetic person,diabétique
fss229,did you become (it),l’es-tu devenu
fss230,did you get it,l’as-tu eu
fss231,difficult ; complicated,compliqué;compliquée
fss232,digestive (liquor),digestif
fss233,directions,indication
fss234,directly,directement
fss235,disappointed,déçu;déçue
fss236,dish,plat
fss237,disoriented,dépaysé ; dépaysée
fss238,divorced,divorcé;divorcée
fss239,DIY ; workmanshift,bricolage
fss240,domestic dispute,scène de ménage
fss241,don’t judge a book by its cover,l’habit ne fait pas le moine
fss242,dough ; pastry,pâte à chou
fss243,dozen,douzaine
fss244,dressing room,cabine d’essayage
fss245,droplet,goutte
fss246,dryer (for clothes),sèche-linge
fss247,during ; while,lors
fss248,each,chacun
fss249,ear,oreille
fss250,early,tôt
fss251,East,est
fss252,economical,économique
fss253,egg,oeuf
fss254,egg omelet,omelette
fss255,eight,huit
fss256,eighteen,dix-huit
fss257,eighty,quatre-vingts
fss258,either...or...,soit
fss259,eleven,onze
fss260,elsewhere,ailleurs
fss261,ember,braise
fss262,end of the day,fin de journée
fss263,endless ; as far as the eye can see,à perte de vue
fss264,enough ; rather,assez
fss265,enthusiastic,enthousiaste
fss266,entry,entrée
fss267,equal ; equivalent,égal
fss268,evening,soirée
fss269,every two years,tous les deux ans
fss270,everybody,tout le monde
fss271,exactly,exactement
fss272,except that,sauf que
fss273,excited,excité;excitée
fss274,exhausted,épuisé ; épuisée
fss275,expensive,cher
fss276,extraordinary ; out of the ordinary,extraordinaire
fss277,far,loin
fss278,far away,loin
fss279,fashion necklace,collier fantaisie
fss280,fast,rapide
fss281,father,père
fss282,favorite,préféré;préférée
fss283,felt very well,allait très bien (aller très bien)
fss284,feminine,féminin
fss285,field,champs
fss286,fifteen,quinze
fss287,fifty,cinquante
fss288,finally,enfin
fss289,fine arts,beaux-arts
fss290,finger,doigt
fss291,first,premier;première
fss292,first name,prénom
fss293,firstly ; first of all,d’abord
fss294,fish,poisson
fss295,five,cinq
fss296,five euros and fifty cents,cinq euros et cinquante centimes
fss297,flavour,saveur
fss298,flight,vol
fss299,florist,fleuriste
fss300,food,nourriture
fss301,food reviewer,critique culinaire
fss302,food specialty,spécialité
fss303,for sure ; some,certain;certaine
fss304,forced,obligé ; obligée
fss305,forty,quarante
fss306,four,quatre
fss307,fourteen,quatorze
fss308,France,la France
fss309,fresh ; cold ; cool,frais;fraîche
fss310,fresh air ; open air,grand air
fss311,fresh produce,produit frais
fss312,Friday,vendredi
fss313,friend,ami ; amie
fss314,friendly,sympathique
fss315,from now on,désormais
fss316,front desk,accueil
fss317,fruit juice,jus de fruit
fss318,full,complet
fss319,full ; complete,complet ; complète
fss320,futuristic,futuriste
fss321,gala dinner,dîner de gala
fss322,game meat,gibier
fss323,gas station attendant,pompiste
fss324,gastronomic,gastronomique
fss325,generously,généreusement
fss326,giant,géant;géante
fss327,gift,cadeau
fss328,give me your phone number (informal),donne-moi ton numéro
fss329,glad to meet you,enchanté;enchantée
fss330,glass,verre
fss331,glasses,lunettes
fss332,goat cheese,fromage de chèvre
fss333,gold medal,médaille d’or
fss334,gold nugget,pépite d’or
fss335,goldfish,poisson rouge
fss336,good,bon;bonne
fss337,good direction ; right direction,bonne direction
fss338,good evening,bonsoir
fss339,good manner,bonne manière
fss340,good manners,bonnes manières
fss341,good table ; good food,bonne table
fss342,got to someone’s head,monté à la tête
fss343,gourmet,gourmand
fss344,grape variety ; variety of wine,cépage
fss345,great vintage wine,grand cru
fss346,greedy,gourmand;gourmande
fss347,green,vert
fss348,grey sky,ciel gris
fss349,grimace ; to make a face,grimace
fss350,guy,type
fss351,gymnastics,gymnastique
fss352,habit,habitude
fss353,half,moitié;à moitié
fss354,half an hour,une demi-heure
fss355,half past seven,sept heures et demie
fss356,half price,moins 50 %
fss357,hallway,couloir
fss358,handmade,fait main
fss359,happy,content;contente;heureux;heureuse
fss360,happy ; pleased,content ; contente
fss361,harassment,harcèlement
fss362,has seen,a vu
fss363,has your brother found,ton frère a-t-il trouvé
fss364,he ate them all,il les a tous mangés
fss365,he could,il pouvait
fss366,he;she,il ;elle
fss367,head of the family,chef de famille
fss368,headphones,écouteurs
fss369,heart,coeur
fss370,heating,chauffage
fss371,heatwave,canicule
fss372,hedge,haie
fss373,heirloom ; inheritance,héritage
fss374,hello,bonjour
fss375,helmet,casque
fss376,help!,au secours !
fss377,here,ici
fss378,hi (informal),salut
fss379,hidden,caché ; cachée
fss380,highly competitive,défiant toute concurrence
fss381,him ; her,lui ; elle
fss382,His Majesty,sa majesté
fss383,his;her,son (masc.); sa (fem.); ses (plur.)
fss384,historical center,centre historique
fss385,hobby,loisir
fss386,homemade cooking,cuisine familiale
fss387,homemade dish,plat maison
fss388,homework,devoir ; un devoir
fss389,horrible ; despicable,horrible
fss390,hot ; warm,chaud;chaude
fss391,hotel,hôtel
fss392,hour,heure
fss393,how,comment
fss394,how are you doing (formal),comment allez-vous ?
fss395,how are you doing (informal),ça va ?
fss396,how much ; how many,combien
fss397,humanitarian aid,humanitaire
fss398,hundred,cent
fss399,hunger,faim
fss400,hyperactive (person),hyperactif
fss401,hysterical,hystérique
fss402,I,je
fss403,I don’t like it (informal),je l’aime pas
fss404,I had drawn a picture,j’avais fait un dessin
fss405,I had found the wrappings,j’avais retrouvé les emballages
fss406,I had not written anything,je n’avais rien écrit
fss407,I learned yesterday,j’ai appris hier
fss408,I must have written,j’ai dû écrire
fss409,I never became,je ne suis jamais devenu
fss410,I told you,je vous l’avais dit
fss411,I was a fan,j’étais fan
fss412,I was seeing,je voyais
fss413,I will be a fireman,je serai pompier
fss414,I will be a mum,je serai maman
fss415,I will be able to do,je pourrai faire
fss416,I will be an illustrator,je serai dessinateur
fss417,I will do no such thing,je n’en ferai rien
fss418,I will extinguish fires,j’éteindrai des feux
fss419,I will find this notebook,je retrouverai ce cahier
fss420,I will have a helmet,j’aurai un casque
fss421,I will have traveled,j’aurai fait un voyage
fss422,I will save cats,je sauverai des chats
fss423,ice cream,glace
fss424,ideal ; perfect,idéal;idéale
fss425,impatient ; excited,impatient;impatiente
fss426,in,dans
fss427,in ; inside,dans
fss428,in direction of,en direction de
fss429,in stock,en stock
fss430,in the distance,au loin
fss431,in unison ; all together,en choeur
fss432,incomprehensible,incompréhensible
fss433,indeed,effectivement
fss434,individual calculation ; calculation per person,calcul individuel
fss435,informal,informel ; informelle
fss436,inside,à l’intérieur
fss437,iron,fer
fss438,IT,informatique
fss439,it (masc. sing.),ce
fss440,it was destiny,c’était le destin
fss441,it was in 1998,c’était en 1998
fss442,it’s me who has written,c’est moi qui ai écrit
fss443,Japan,le Japon
fss444,job,métier
fss445,July,juillet
fss446,June,juin
fss447,kangaroo,kangourou
fss448,kept,gardé ; gardée
fss449,kitchen,cuisine
fss450,kitchen ; food preparation,cuisine
fss451,label ; price tag,étiquette
fss452,landscape,paysage
fss453,late,tard
fss454,late morning,fin de matinée
fss455,laugh,rire
fss456,lawyer,avocat ; avocate
fss457,lax ; permissive,laxiste
fss458,lazy,fainéant;fainéante
fss459,leap,bond
fss460,leather,cuir
fss461,leftovers,restes de la veille
fss462,less ; fewer ; minus,moins
fss463,lessons,cours
fss464,lie ; bad faith,mauvaise foi
fss465,lifeless,sans vie
fss466,light,léger;légère
fss467,lightning,foudre
fss468,lights out,extinction des feux
fss469,liquor,liqueur
fss470,lobster,homard
fss471,logic ; reasoning,une logique
fss472,lost,perdu;perdue
fss473,loudly,bruyamment
fss474,love at first sight,coup de foudre
fss475,luggage,bagage
fss476,magical ; enchanting,féérique
fss477,main dish,plat principal
fss478,map,plan
fss479,March,mars
fss480,mark down sale,démarque
fss481,masculine,masculin
fss482,mathematical,mathématique
fss483,May,mai
fss484,may I ask for your phone number ? (formal),puis-je vous demander votre numéro ?
fss485,me,moi
fss486,me too,moi de même
fss487,meal,repas
fss488,meat,viande
fss489,mechanic,mécanicien ;mécanicienne
fss490,medical doctor,médecin
fss491,meeting,réunion
fss492,meeting ; encounter,rencontre
fss493,meh,bof
fss494,memory,mémoire;souvenir
fss495,mentally,mentalement
fss496,merely,à peine
fss497,meter,compteur
fss498,midnight,minuit
fss499,misunderstanding,malentendu
fss500,model ; design,modèle
fss501,moindre; the least,
fss502,Monday,lundi
fss503,month,mois
fss504,more,davantage
fss505,more ; plus,plus
fss506,morning,matin
fss507,mother,mère
fss508,motionless,immobile
fss509,mount ; hill,mont
fss510,mouse (computer),souris
fss511,museum,musée
fss512,must ; to have to,devoir
fss513,my,mon (masc.) ; ma (fem.) ; mes (plur.)
fss514,my dear,mon cher ;ma chère
fss515,my grandfather found them,mon grand-père les a trouvés
fss516,nap,sieste
fss517,national holiday,fête nationale
fss518,navy,marine
fss519,nearly ; almost,quasiment
fss520,needle,aiguille
fss521,nervous,nerveux;nerveuse
fss522,nervously,nerveusement
fss523,neutral,neutre
fss524,never,jamais
fss525,new,nouveau;nouvelle
fss526,nice,agréable
fss527,nice ; agreeable,plaisant ; plaisante
fss528,nice ; pleasing,agréable
fss529,nice weather,beau temps
fss530,nightmarish,cauchemardesque
fss531,nine,neuf
fss532,nineteen,dix-neuf
fss533,ninety,quatre-vingt-dix
fss534,no harm done,plus de peur que de mal
fss535,none,aucune
fss536,nonetheless,néanmoins
fss537,noon,midi
fss538,North,nord
fss539,notebook,cahier
fss540,nothing to wear,rien à se mettre
fss541,number,nombre
fss542,numerous ; many ; plenty,nombreux ; nombreuse
fss543,nurse,infirmier ; infirmière
fss544,objectively ; impartially,objectivement
fss545,obvious,évident;évidente
fss546,obviously ; evidently,visiblement
fss547,of course ; certainly,certes
fss548,ogre;glutton ; who eats a lot,ogre ; ogresse
fss549,old school,vieux jeu
fss550,on board,à bord
fss551,on foot,à pied
fss552,on the corner of,au coin de
fss553,on the occasion of,à l’occasion de
fss554,one,Un
fss555,one billion,milliard
fss556,one hundred,cent
fss557,one million,million
fss558,one summer,un été
fss559,one thousand,mille
fss560,one winter,un hiver
fss561,online,en ligne
fss562,online shop,boutique en ligne
fss563,opposite of,en face de
fss564,or,ou
fss565,order,commande
fss566,ordinary,ordinaire
fss567,our,notre (sing.) ; nos (plur.)
fss568,outdoor activities,activités de plein air
fss569,oven dish ; with melted cheese on top,gratin
fss570,over-familiar,familier ; familière
fss571,overdrawn,à découvert
fss572,overexcited,survolté
fss573,pair,paire
fss574,pale,pâle
fss575,pan-fried potatoes,pommes de terre sautées
fss576,pants ; trousers,pantalons
fss577,paper tablecloth,nappe en papier
fss578,parcel,colis
fss579,Paris-Brest ; French pastry,Paris Brest
fss580,party,fête
fss581,passenger,passager ;passagère
fss582,pasta,pâtes
fss583,pasta dish,pâtes
fss584,pastry chef,pâtissier
fss585,pâté,terrine
fss586,paw,patte
fss587,payment declined,paiement refusé
fss588,payment method,moyen de paiement
fss589,pea,pois
fss590,peaceful,apaisé;apaisée
fss591,pedestrian zone,zone piétonne
fss592,pediatrician,pédiatre
fss593,pen,stylo
fss594,penny ; cent,sou
fss595,per head,par personne
fss596,perfect,parfait;parfaite
fss597,pet shop,animalerie
fss598,philosopher’s stone,pierre philosophale
fss599,physics,physique
fss600,pie,tarte
fss601,pillow,oreiller
fss602,place ; location,lieu
fss603,plane,avion
fss604,plate,assiette
fss605,please,je t’en prie ; je vous en prie
fss606,please,s’il-vous-plaît ; s’il-te-plait
fss607,please ; I beg of you (formal),je vous en prie
fss608,pleased to meet you,ravi de faire votre ; ta connaissance
fss609,pleasure,plaisir
fss610,pocket money,argent de poche
fss611,politely,poliment
fss612,politeness ; courtesy,politesse
fss613,poor,pauvre
fss614,post office,bureau de poste
fss615,postman,facteur
fss616,pot ; jar,pot
fss617,precisely,justement
fss618,pregnant,enceinte
fss619,price,prix
fss620,private talk,tête à tête
fss621,probably,probablement
fss622,proof,preuve
fss623,proud,fier;fière
fss624,prudent ; careful,prudent ; prudente
fss625,public holiday,jour férié
fss626,publisher,éditeur ; éditrice
fss627,pumpkin,citrouille
fss628,punishment,punition
fss629,purchase,achat
fss630,purchase order,bon de commande
fss631,quantity ; amount,quantité
fss632,quarter,quart
fss633,quarter past eleven,onze heures et quart
fss634,quarter to eight,huit heures moins quart
fss635,quickly,rapidement
fss636,quickly ; fast,vite
fss637,quietly ; peacefully,tranquillement
fss638,rally champion,champion de rallye
fss639,rarely,rarement
fss640,ready,prêt;prête
fss641,really,vraiment
fss642,rebate,ristourne
fss643,recipe,recette
fss644,red,rouge
fss645,relaxed ; calm,détendu;détendue
fss646,retirement home,maison de retraite
fss647,rice,riz vapeur
fss648,ridiculous,ridicule
fss649,robbed (in this case ; figuratively),dévalisé ; dévalisée
fss650,round trip,aller-retour
fss651,rubber boot,botte en caoutchouc
fss652,running,course à pied
fss653,running shoes,baskets
fss654,salad,salade
fss655,sales,soldes
fss656,salmon,saumon
fss657,sarcasm,le sarcasme
fss658,Saturday,samedi
fss659,sauce specialist,saucier
fss660,savings,économies
fss661,scapegoat,bouc-émissaire
fss662,schedules,horaires
fss663,school teacher,instituteur ; institutrice
fss664,screen,écran
fss665,sea,mer
fss666,second,seconde
fss667,secretely,secrètement
fss668,seller,commerçant ; commerçante;vendeur ; vendeuse
fss669,sense,sens
fss670,sense of orientation,orientation
fss671,September,septembre
fss672,seven,sept
fss673,seventeen,dix-sept
fss674,seventy,soixante-dix
fss675,shoe,chaussure
fss676,shoe size,pointure
fss677,shop,commerce;magasin
fss678,shopping bag,sac de courses
fss679,shopping frenzy,frénésie acheteuse
fss680,shovel,pelle
fss681,show,spectacle
fss682,showers (rain),averse
fss683,shuttle,navette
fss684,sick ; ill,malade
fss685,simply,simplement
fss686,since ; from,depuis
fss687,single,célibataire
fss688,single line,file indienne
fss689,sit down,asseyez-vous;assieds-toi
fss690,six,six
fss691,sixteen,seize
fss692,sixty,soixante
fss693,size,taille
fss694,small,petit;petite
fss695,sneakily,sournoisement
fss696,snow,neige
fss697,so much,tellement
fss698,so so (informal),comme ci comme ça
fss699,so-called,soi-disant
fss700,solitary,solitaire
fss701,some,certains
fss702,some (plur.),des
fss703,someone ; something,quelqu’un ; quelque chose
fss704,sometimes,quelquefois
fss705,somewhere,quelque part
fss706,son ; sonny,fiston
fss707,son-in-law,gendre
fss708,song ; singing,chant
fss709,sophisticated,sophistiqué;sophistiquée
fss710,sorry,pardon
fss711,soup,soupe
fss712,South,sud
fss713,special offer,offre promotionnelle
fss714,spice,épice
fss715,spouse,époux;épouse
fss716,spring,printemps
fss717,stairs,escaliers
fss718,standing,debout
fss719,step,étape
fss720,stepfather,beau-père
fss721,still ; yet,encore
fss722,stomach,estomac
fss723,stop sign,stop
fss724,storekeeper,commerçant ; commerçante
fss725,straight,tout droit
fss726,straight out (informal),carrément
fss727,stranger ; foreigner,étranger
fss728,street,rue
fss729,stroll ; walk,balade
fss730,strong,fort
fss731,student,étudiant ; étudiante
fss732,studies,études
fss733,sugar,sucre
fss734,summer,été
fss735,sun,soleil
fss736,Sunday,dimanche
fss737,sunny,ensoleillé
fss738,suspicion ; hint,soupçon
fss739,sweet ; nice,doux ; douce
fss740,sweet and sour,aigre doux
fss741,tail,queue
fss742,take (a left),prendre (à gauche)
fss743,take-off,décollage
fss744,taste,goût
fss745,tasteless ; bland,fade
fss746,tattoo,tatouage
fss747,team,équipe
fss748,technically,techniquement
fss749,ten,dix
fss750,tennis player,joueur ;joueuse de tennis
fss751,tent,tente
fss752,terribly,terriblement
fss753,thank you,merci
fss754,that,cela;qu’en (que )
fss755,that (neutral sing.),ça
fss756,the (plur.),les
fss757,the (sing ; fem.),la
fss758,the (sing. ; masc.),le
fss759,the (sing. ; when right in front of a vowel),l’
fss760,the day before,veille
fss761,the group of kids kept its promise,le groupe d’enfants a tenu sa promesse
fss762,the others will say,les autres diront
fss763,the people who (plur.),ceux
fss764,the person who (fem.),celle
fss765,the person who (masc.),celui
fss766,the wait,attente
fss767,their,leur (sing.) ; leurs (plur.)
fss768,their parents lived,leurs parents vivaient
fss769,them,ils (masc.);elles (fem.);eux
fss770,then,alors;ensuite;puis
fss771,there,là;là-bas
fss772,there you go ; here is...,voilà
fss773,these,ces
fss774,they became adults,ils sont devenus des adultes
fss775,they burried,enterrèrent
fss776,they just unburried,ils viennent de déterrer
fss777,they promised each other,ils s’étaient promis
fss778,they were ten years old,ils avaient dix ans
fss779,they will all be kind,ils seront tous gentils
fss780,they will leave me alone,ils me laisseront tranquille
fss781,they would be thirty years old,ils auraient trente ans
fss782,thief,voleur
fss783,thing,chose
fss784,things ; belongings,affaires
fss785,thirteen,treize
fss786,thirty,trente
fss787,this,ceci;ce;cette
fss788,thread,fil
fss789,three,trois
fss790,thunder,tonnerre
fss791,time shift ; time difference,décalage (horaire)
fss792,tired ; weary,las ; lasse
fss793,to accompany,accompagner
fss794,to address someone in a familiar manner ; using ‘tu’,tutoyer
fss795,to address someone in a formal manner ; using ‘vous’,vouvoyer
fss796,to admire,admirer
fss797,to adopt,adopter
fss798,to adore,adorer
fss799,to aim,visez (viser)
fss800,to answer,répondre
fss801,to applaud,applaudit (applaudir)
fss802,to arrive,arriver
fss803,to ask (for something) ; to wonder,demander
fss804,to ask for directions,demande son chemin (demander son chemin)
fss805,to be,être
fss806,to be able to,pouvoir
fss807,to be confused ; completely baffled,perdre son latin
fss808,to be extremely worried,se fait un sang d’encre (se faire un sang d’encre)
fss809,to be hungry,ayons faim (avoir faim)
fss810,to be in good health,était en bonne santé (être en bonne santé)
fss811,to be successful at,réussir
fss812,to be worth,vaut (valoir)
fss813,to become,devenir
fss814,to believe,croire
fss815,to benefit from,profiter
fss816,to blame (someone),accuser
fss817,to breathe some air,prendre l’air
fss818,to bring,apporter
fss819,to bring back,rapporter;ramener
fss820,to brush your teeth,se brosser les dents
fss821,to bump into the neighbor,croisant la voisine (croiser la voisine)
fss822,to burst into laughter,éclater de rire
fss823,to burst into tears,fond en larmes (fondre en larmes)
fss824,to buy,acheter
fss825,to buy groceries,faire les courses
fss826,to buy oneself something,s’acheter
fss827,to buy some bread,acheter du pain
fss828,to calculate,calculer
fss829,to call,appeler
fss830,to cancel,annuler
fss831,to carry,porter
fss832,to catch,attraper
fss833,to change (clothes),se changer
fss834,to change the bedsheets,changé les draps ( changer les draps )
fss835,to change the subject,changeait de sujet (changer de sujet)
fss836,to cheat ; to swindle,escroquer
fss837,to choose,choisir
fss838,to clean ; to clean up ; tidy up,ranger
fss839,to click (computer),clique (cliquer)
fss840,to collect,collectionnes (collectionner) ; retirer
fss841,to come,venir
fss842,to come back home,rentré à la maison (rentrer à la maison)
fss843,to complain,se plaindre
fss844,to confront someone or something,en découdre
fss845,to congratulate oneself,se féliciter
fss846,to consist of,consiste ( consister)
fss847,to cook ; make something to eat,se faire à manger
fss848,to count ; to add up,compte (compter)
fss849,to cross,traversez (traverser)
fss850,to cry,pleurer
fss851,to dance,danser
fss852,to dash out,file (filer)
fss853,to decide,décider
fss854,to delay ; to postpone,retarder
fss855,to deserve,mérites (mériter)
fss856,to devour ; to eat with gluttony,dévorer
fss857,to digest,digérer
fss858,to discover,découvrir
fss859,to discover ; to see for the first time,découvrir
fss860,to discuss or debate about the news,parler des actualités
fss861,to disturb ; to annoy,dérange (déranger)
fss862,to divide,divise (diviser)
fss863,to do ; to make,faire
fss864,to draw lots,tire au sort (tirer au sort)
fss865,to dream,rêver
fss866,to drink,boire
fss867,to drink a coffee,boire un café
fss868,to drive,conduire
fss869,to drop off,dépose (déposer)
fss870,to eat,se nourrissait ( se nourrir)
fss871,to encourage,encourager
fss872,to enter ; to come in,entrer
fss873,to entertain,divertir
fss874,to explore,explorer
fss875,to fall,tomber
fss876,to fall asleep,s’endormir
fss877,to fall in love,tomber amoureux
fss878,to fall under the spell,tomber sous le charme
fss879,to fall upon,tomberez (tomber)
fss880,to feel down ; in a sad mood,ne pas avoir le moral
fss881,to feel guilty,culpabiliser
fss882,to fight,se disputer
fss883,to fill your gas tank,faire le plein
fss884,to find,trouver
fss885,to finish ; to end,finir
fss886,to fit the part,avoir la tête de l’emploi
fss887,to focus,se concentrer
fss888,to follow,suivre
fss889,to forget,oublier
fss890,to get dressed,s’habiller
fss891,to get hydrated,s’hydratait ( s’hydrater)
fss892,to get lost,se perdre
fss893,to get off (a bus),descend (descendre)
fss894,to get older,vieillir
fss895,to get out,sortir
fss896,to get peckish,ai un petit creux (avoir un petit creux)
fss897,to get up,se lever
fss898,to give,donner
fss899,to give ; to offer,offrir
fss900,to give directions,indiquer
fss901,to go,aller
fss902,to go (away),partir
fss903,to go (somewhere),se rendre
fss904,to go ; to leave,partir
fss905,to go down,descendre
fss906,to go out,sortir
fss907,to go somewhere,se rendre
fss908,to go to bed ; to lay down,se coucher
fss909,to go up ; to board ; to climb,monter
fss910,to hallucinate,halluciner
fss911,to hate,détestez (détester)
fss912,to have,avoir
fss913,to have a bite to eat (informal),casser la croûte
fss914,to have fun,se sont bien amusées (s’amuser)
fss915,to have to ; must,devoir
fss916,to hear,entendre
fss917,to help,aider
fss918,to help ; to fix,dépanne (dépanner)
fss919,to hold,tenir
fss920,to hold tight,serrant ( serrer)
fss921,to identify ; to locate,se repérer
fss922,to imagine,imaginer
